entry_index,exit_index,entry_time,exit_time,position,entry_price,exit_price,pnl,size,equity_after,exit_reason
98,99,2010-01-08 00:00:00,2010-01-08 01:00:00,long,4296.25,4298.5,522.0,232,1000000.0,eow
101,102,2010-01-08 03:00:00,2010-01-08 04:00:00,long,4296.75,4296.25,-116.0,232,1000522.0,eow
103,104,2010-01-08 05:00:00,2010-01-08 06:00:00,long,4297.75,4298.5,174.0,232,1000406.0,eow
106,107,2010-01-08 08:00:00,2010-01-08 09:00:00,long,4289.0,4293.75,1106.75,233,1000580.0,eow
108,109,2010-01-08 10:00:00,2010-01-08 11:00:00,long,4300.5,4303.75,754.0,232,1001686.75,eow
111,112,2010-01-08 13:00:00,2010-01-08 14:00:00,long,4305.75,4306.0,58.0,232,1002440.75,eow
113,114,2010-01-08 15:00:00,2010-01-08 16:00:00,long,4309.75,4308.5,-290.0,232,1002498.75,eod
123,130,2010-01-11 02:00:00,2010-01-11 09:00:00,long,4313.75,4301.5,-2829.75,231,1002208.75,stop_loss
131,143,2010-01-11 10:00:00,2010-01-11 23:00:00,long,4299.25,4297.5,-406.0,232,999379.0,eod
144,147,2010-01-12 00:00:00,2010-01-12 03:00:00,long,4299.5,4294.0,-1276.0,232,998973.0,stop_loss
149,150,2010-01-12 05:00:00,2010-01-12 06:00:00,long,4295.5,4288.75,-1566.0,232,997697.0,stop_loss
151,153,2010-01-12 07:00:00,2010-01-12 09:00:00,long,4290.5,4286.0,-1048.5,233,996131.0,stop_loss
154,156,2010-01-12 10:00:00,2010-01-12 12:00:00,long,4288.25,4271.0,-4019.25,233,995082.5,stop_loss
157,166,2010-01-12 13:00:00,2010-01-12 23:00:00,long,4274.0,4284.75,2504.75,233,991063.25,eod
170,177,2010-01-13 03:00:00,2010-01-13 10:00:00,long,4285.25,4280.75,-1048.5,233,993568.0,stop_loss
178,180,2010-01-13 11:00:00,2010-01-13 13:00:00,long,4283.0,4297.5,3378.5,233,992519.5,take_profit
181,189,2010-01-13 14:00:00,2010-01-13 23:00:00,long,4303.75,4304.75,232.0,232,995898.0,eod
213,214,2010-01-15 00:00:00,2010-01-15 01:00:00,long,4303.5,4303.5,0.0,232,996130.0,eow
215,216,2010-01-15 02:00:00,2010-01-15 03:00:00,long,4303.25,4307.5,986.0,232,996130.0,eow
219,220,2010-01-15 06:00:00,2010-01-15 07:00:00,long,4300.0,4298.5,-348.0,232,997116.0,eow
221,222,2010-01-15 08:00:00,2010-01-15 09:00:00,long,4302.25,4296.0,-1450.0,232,996768.0,stop_loss
225,226,2010-01-15 12:00:00,2010-01-15 13:00:00,long,4277.5,4278.5,233.0,233,995318.0,eow
227,228,2010-01-15 14:00:00,2010-01-15 15:00:00,long,4279.25,4282.0,640.75,233,995551.0,eow
254,258,2010-01-19 00:00:00,2010-01-19 04:00:00,long,4290.25,4283.5,-1572.75,233,996191.75,stop_loss
259,263,2010-01-19 05:00:00,2010-01-19 09:00:00,long,4282.0,4297.75,3669.75,233,994619.0,take_profit
266,270,2010-01-19 12:00:00,2010-01-19 16:00:00,long,4311.5,4306.0,-1270.5,231,998288.75,stop_loss
271,276,2010-01-19 18:00:00,2010-01-19 23:00:00,long,4307.0,4305.25,-406.0,232,997018.25,eod
280,283,2010-01-20 03:00:00,2010-01-20 06:00:00,long,4302.0,4297.25,-1102.0,232,996612.25,stop_loss
284,286,2010-01-20 07:00:00,2010-01-20 09:00:00,long,4301.0,4290.0,-2552.0,232,995510.25,stop_loss
287,293,2010-01-20 10:00:00,2010-01-20 16:00:00,long,4271.5,4287.5,3744.0,234,992958.25,take_profit
295,299,2010-01-20 19:00:00,2010-01-20 23:00:00,long,4289.5,4292.0,582.5,233,996702.25,eod
300,302,2010-01-21 00:00:00,2010-01-21 02:00:00,long,4294.0,4287.0,-1624.0,232,997284.75,stop_loss
303,310,2010-01-21 03:00:00,2010-01-21 10:00:00,long,4283.75,4271.75,-2796.0,233,995660.75,stop_loss
312,316,2010-01-21 12:00:00,2010-01-21 16:00:00,long,4262.0,4257.25,-1111.5,234,992864.75,stop_loss
317,322,2010-01-21 18:00:00,2010-01-21 23:00:00,long,4258.25,4260.5,526.5,234,991753.25,eod
323,324,2010-01-22 00:00:00,2010-01-22 01:00:00,long,4261.0,4263.25,526.5,234,992279.75,eow
326,327,2010-01-22 03:00:00,2010-01-22 04:00:00,long,4265.25,4266.0,175.5,234,992806.25,eow
329,330,2010-01-22 06:00:00,2010-01-22 07:00:00,long,4256.75,4260.25,819.0,234,992981.75,eow
332,333,2010-01-22 09:00:00,2010-01-22 10:00:00,long,4259.75,4250.25,-2223.0,234,993800.75,stop_loss
334,335,2010-01-22 11:00:00,2010-01-22 12:00:00,long,4250.75,4248.75,-470.0,235,991577.75,eow
337,338,2010-01-22 14:00:00,2010-01-22 15:00:00,long,4225.75,4212.5,-3127.0,236,991107.75,stop_loss
347,357,2010-01-25 01:00:00,2010-01-25 11:00:00,long,4222.0,4215.75,-1475.0,236,987980.75,stop_loss
358,367,2010-01-25 12:00:00,2010-01-25 22:00:00,long,4222.25,4210.0,-2891.0,236,986505.75,stop_loss
368,376,2010-01-25 23:00:00,2010-01-26 07:00:00,long,4205.75,4219.25,3199.5,237,983614.75,take_profit
379,381,2010-01-26 10:00:00,2010-01-26 12:00:00,long,4224.5,4240.75,3835.0,236,986814.25,take_profit
385,391,2010-01-26 16:00:00,2010-01-26 23:00:00,long,4220.25,4219.0,-295.0,236,990649.25,eod
393,395,2010-01-27 01:00:00,2010-01-27 03:00:00,long,4215.25,4208.5,-1599.75,237,990354.25,stop_loss
396,401,2010-01-27 04:00:00,2010-01-27 09:00:00,long,4210.5,4223.75,3140.25,237,988754.5,take_profit
403,405,2010-01-27 11:00:00,2010-01-27 13:00:00,long,4219.0,4213.75,-1244.25,237,991894.75,stop_loss
406,408,2010-01-27 14:00:00,2010-01-27 16:00:00,long,4232.25,4228.0,-1003.0,236,990650.5,stop_loss
409,414,2010-01-27 18:00:00,2010-01-27 23:00:00,long,4229.25,4238.5,2183.0,236,989647.5,eod
416,420,2010-01-28 01:00:00,2010-01-28 05:00:00,long,4236.5,4229.25,-1711.0,236,991830.5,stop_loss
422,423,2010-01-28 07:00:00,2010-01-28 08:00:00,long,4232.5,4225.25,-1711.0,236,990119.5,stop_loss
426,431,2010-01-28 11:00:00,2010-01-28 16:00:00,long,4184.0,4196.75,3047.25,239,988408.5,take_profit
434,437,2010-01-28 20:00:00,2010-01-28 23:00:00,long,4185.0,4184.75,-59.5,238,991455.75,eod
438,439,2010-01-29 00:00:00,2010-01-29 01:00:00,long,4181.0,4184.0,717.0,239,991396.25,eow
440,441,2010-01-29 02:00:00,2010-01-29 03:00:00,long,4194.25,4194.5,59.5,238,992113.25,eow
443,444,2010-01-29 05:00:00,2010-01-29 06:00:00,long,4190.75,4191.75,238.0,238,992172.75,eow
445,446,2010-01-29 07:00:00,2010-01-29 08:00:00,long,4195.75,4207.0,2677.5,238,992410.75,eow
448,449,2010-01-29 10:00:00,2010-01-29 11:00:00,long,4192.75,4175.75,-4046.0,238,995088.25,stop_loss
450,451,2010-01-29 12:00:00,2010-01-29 13:00:00,long,4180.5,4168.0,-2987.5,239,991042.25,stop_loss
452,453,2010-01-29 14:00:00,2010-01-29 15:00:00,long,4156.5,4157.0,120.0,240,988054.75,eow
484,496,2010-02-02 00:00:00,2010-02-02 12:00:00,long,4171.25,4187.5,3883.75,239,988174.75,take_profit
497,506,2010-02-02 13:00:00,2010-02-02 23:00:00,long,4189.5,4187.5,-476.0,238,992058.5,eod
507,515,2010-02-03 00:00:00,2010-02-03 08:00:00,long,4188.75,4183.0,-1368.5,238,991582.5,stop_loss
516,518,2010-02-03 09:00:00,2010-02-03 11:00:00,long,4194.5,4189.75,-1130.5,238,990214.0,stop_loss
519,529,2010-02-03 12:00:00,2010-02-03 23:00:00,long,4196.75,4205.25,2023.0,238,989083.5,eod
530,533,2010-02-04 00:00:00,2010-02-04 03:00:00,long,4204.25,4198.75,-1303.5,237,991106.5,stop_loss
536,538,2010-02-04 06:00:00,2010-02-04 08:00:00,long,4194.75,4190.0,-1130.5,238,989803.0,stop_loss
540,541,2010-02-04 10:00:00,2010-02-04 11:00:00,long,4166.0,4161.75,-1020.0,240,988672.5,stop_loss
543,545,2010-02-04 13:00:00,2010-02-04 15:00:00,long,4157.0,4150.5,-1560.0,240,987652.5,stop_loss
546,552,2010-02-04 16:00:00,2010-02-04 23:00:00,long,4151.5,4156.0,1080.0,240,986092.5,eod
553,554,2010-02-05 00:00:00,2010-02-05 01:00:00,long,4157.75,4158.25,120.0,240,987172.5,eow
556,557,2010-02-05 03:00:00,2010-02-05 04:00:00,long,4155.75,4148.5,-1740.0,240,987292.5,stop_loss
558,559,2010-02-05 05:00:00,2010-02-05 06:00:00,long,4147.0,4153.5,1566.5,241,985552.5,eow
561,562,2010-02-05 08:00:00,2010-02-05 09:00:00,long,4161.5,4144.5,-4080.0,240,987119.0,stop_loss
563,564,2010-02-05 10:00:00,2010-02-05 11:00:00,long,4155.0,4149.0,-1440.0,240,983039.0,stop_loss
565,566,2010-02-05 12:00:00,2010-02-05 13:00:00,long,4150.5,4131.0,-4680.0,240,981599.0,stop_loss
567,568,2010-02-05 14:00:00,2010-02-05 15:00:00,long,4141.5,4162.0,4940.5,241,976919.0,take_profit
576,591,2010-02-08 00:00:00,2010-02-08 15:00:00,long,4162.75,4152.0,-2580.0,240,981859.5,stop_loss
592,598,2010-02-08 16:00:00,2010-02-08 23:00:00,long,4151.0,4156.25,1260.0,240,979279.5,eod
599,610,2010-02-09 00:00:00,2010-02-09 11:00:00,long,4158.0,4172.25,3420.0,240,980539.5,take_profit
611,613,2010-02-09 12:00:00,2010-02-09 14:00:00,long,4174.25,4169.75,-1075.5,239,983959.5,stop_loss
614,621,2010-02-09 15:00:00,2010-02-09 23:00:00,long,4169.5,4167.5,-478.0,239,982884.0,eod
